TSSOP14,UFQFPN20,TSSOP20,UFQFPN28,LQFP32,UFQFPN32,WLCSP25,Pin name ,Pin type,I/O structure,Notes ,Alternate functions ,Additional functions 
,,,,,,,,,,,,
2,1,2,2,2,2,B5 ,PC14- OSC32_IN ,I/O ,FT ,- ,- ,OSC32_IN 
,,,,,,,,,,,,
3,2,3,3,3,3,C5 ,PC15- OSC32_OUT ,I/O ,TC ,- ,- ,OSC32_OUT 
,,,,,,,,,,,,
4,3,4,4,4,4,D5 ,NRST ,I/O ,RST ,-2,- ,- 
,,,,,,,,,,,,
10,4,5,5,5,5,C4 ,VDDA ,S ,- ,(3)(4) ,- ,- 
,,,,,,,,,,,,
5,5,6,6,6,6,E5 ,PA0-CK_IN ,I/O ,TTa ,- ,"USART2_RX, LPTIM1_IN1, TIM2_CH1, USART2_CTS, TIM2_ETR, LPUART1_RX, COMP1_OUT ","COMP1_INM, ADC_IN0, RTC_TAMP2/WKU P1/CK_IN "
,,,,,,,,,,,,
6,6,7,7,7,7,B4 ,PA1 ,I/O ,FT ,- ,"EVENTOUT, LPTIM1_IN2, TIM2_CH2, I2C1_SMBA, USART2_RTS_DE, TIM21_ETR, LPUART1_TX ","COMP1_INP, ADC_IN1 "
,,,,,,,,,,,,
- ,- ,8,8,8,8,D4 ,PA2 ,I/O ,TTa ,- ,"TIM21_CH1, TIM2_CH3, USART2_TX, LPUART1_TX, COMP2_OUT ","COMP2_INM, ADC_IN2, RTC_TAMP3/RTC_ TS/RTC_OUT/WKU P3 "
,,,,,,,,,,,,
- ,- ,9,9,9,9,E4 ,PA3 ,I/O ,FT ,- ,"TIM21_CH2, TIM2_CH4, USART2_RX, LPUART1_RX ","COMP2_INP, ADC_IN3 "
,,,,,,,,,,,,
7,7,10,10,10,10,B3 ,PA4 ,I/O ,TTa ,- ,"SPI1_NSS, LPTIM1_IN1, LPTIM1_ETR, I2C1_SCL, USART2_CK, TIM2_ETR, LPUART1_TX, COMP2_OUT ","COMP1_INM, COMP2_INM, ADC_IN4 "
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
- ,8,11,11,11,11,D3 ,PA5 ,I/O ,TTa ,- ,"SPI1_SCK, LPTIM1_IN2, TIM2_ETR, TIM2_CH1 ","COMP1_INM, COMP2_INM, ADC_IN5 "
,,,,,,,,,,,,
