LQFP48,LQFP64 ,TFBGA64 ,LQFP100 ,UFBGA100 ,Pin name ,Pin type ,I/O Structure,Note,Alternate functions ,Additional functions 
- ,- ,- ,1,B2 ,PE2 ,I/O ,FT ,- ,"LCD_SEG38, TIM3_ETR ",- 
,,,,,,,,,,
- ,- ,- ,2,A1 ,PE3 ,I/O ,FT ,- ,"TIM22_CH1, LCD_SEG39, TIM3_CH1 ",- 
,,,,,,,,,,
- ,- ,- ,3,B1 ,PE4 ,I/O ,FT ,- ,"TIM22_CH2, TIM3_CH2 ",- 
,,,,,,,,,,
- ,- ,- ,4,C2 ,PE5 ,I/O ,FT ,- ,"TIM21_CH1, TIM3_CH3 ",- 
,,,,,,,,,,
- ,- ,- ,5,D2 ,PE6 ,I/O ,FT ,- ,"TIM21_CH2, TIM3_CH4 ",RTC_TAMP3/WKUP3 
,,,,,,,,,,
1,1,B2 ,6,E2 ,VLCD ,S ,,- ,- ,
,,,,,,,,,,
2,2,A2 ,7,C1 ,PC13 ,I/O ,FT ,- ,- ,RTC_TAMP1/RTC_TS/ RTC_OUT/WKUP2 
,,,,,,,,,,
3,3,A1 ,8,D1 ,PC14- OSC32_IN (PC14) ,I/O ,FT ,- ,- ,OSC32_IN 
,,,,,,,,,,
4,4,B1 ,9,E1 ,PC15- OSC32_OUT (PC15) ,I/O ,TC ,- ,- ,OSC32_OUT 
,,,,,,,,,,
- ,- ,- ,10,F2 ,PH9 ,I/O ,FT ,- ,- ,- 
,,,,,,,,,,
- ,- ,- ,11,G2 ,PH10 ,I/O ,FT ,- ,- ,- 
,,,,,,,,,,
5,5,C1 ,12,F1 ,PH0-OSC_IN (PH0) ,I/O ,TC ,- ,USB_CRS_SYNC ,OSC_IN 
,,,,,,,,,,
6,6,D1 ,13,G1 ,PH1- OSC_OUT (PH1) ,I/O ,TC ,- ,- ,OSC_OUT 
,,,,,,,,,,
7,7,E1 ,14,H2 ,NRST ,I/O ,- ,- ,- ,- 
,,,,,,,,,,
- ,8,E3 ,15,H1 ,PC0 ,I/O ,FTf ,- ,"LPTIM1_IN1, LCD_SEG18, EVENTOUT, TSC_G7_IO1, LPUART1_RX, I2C3_SCL ",ADC_IN10 
,,,,,,,,,,
- ,9,E2 ,16,J2 ,PC1 ,I/O ,FTf ,- ,"LPTIM1_OUT, LCD_SEG19, EVENTOUT, TSC_G7_IO2, LPUART1_TX, I2C3_SDA ",ADC_IN11 
,,,,,,,,,,
- ,10,F2 ,17,J3 ,PC2 ,I/O ,FTf ,- ,"LPTIM1_IN2, ",ADC_IN12 
,,,,,,,,,,
,,,,,,,,,"LCD_SEG20, SPI2_MISO/I2S2_MCK, TSC_G7_IO3 ",
,,,,,,,,,,
- ,11,- ,18,K2 ,PC3 ,I/O ,FT ,- ,"LPTIM1_ETR, LCD_SEG21, SPI2_MOSI/I2S2_SD, TSC_G7_IO4 ",ADC_IN13 
,,,,,,,,,,
8,12,F1 ,19,J1 ,VSSA ,S ,- ,- ,- ,- 
,,,,,,,,,,
- ,- ,- ,20,K1 ,VREF- ,S ,- ,- ,- ,- 
,,,,,,,,,,
- ,- ,G1 ,21,L1 ,VREF+ ,S ,- ,- ,- ,- 
,,,,,,,,,,
9,13,H1 ,22,M1 ,VDDA ,S ,- ,- ,- ,- 
,,,,,,,,,,
10,14,G2 ,23,L2 ,PA0 ,I/O ,TC ,- ,"TIM2_CH1, TSC_G1_IO1, USART2_CTS, TIM2_ETR, USART4_TX, COMP1_OUT ","COMP1_INM, ADC_IN0, RTC_TAMP2/WKUP1 "
,,,,,,,,,,
11,15,H2 ,24,M2 ,PA1 ,I/O ,FT ,- ,"EVENTOUT, LCD_SEG0, TIM2_CH2, TSC_G1_IO2, USART2_RTS_DE, TIM21_ETR, USART4_RX ","COMP1_INP, ADC_IN1 "
,,,,,,,,,,
12,16,F3 ,25,K3 ,PA2 ,I/O ,FT ,- ,"TIM21_CH1, LCD_SEG1, TIM2_CH3, TSC_G1_IO3, USART2_TX, LPUART1_TX, COMP2_OUT ","COMP2_INM, ADC_IN2 "
,,,,,,,,,,
13,17,G3 ,26,L3 ,PA3 ,I/O ,FT ,- ,"TIM21_CH2, LCD_SEG2, TIM2_CH4, TSC_G1_IO4, USART2_RX, LPUART1_RX ","COMP2_INP, ADC_IN3 "
,,,,,,,,,,
- ,18,C2 ,27,E3 ,VSS ,S ,- ,- ,- ,- 
,,,,,,,,,,
- ,19,D2 ,28,H3 ,VDD ,S ,- ,- ,- ,- 
,,,,,,,,,,
14,20,H3 ,29,M3 ,PA4 ,I/O ,TC ,-1,"SPI1_NSS, TSC_G2_IO1, USART2_CK, TIM22_ETR ","COMP1_INM, COMP2_INM, ADC_IN4, DAC_OUT1 "
,,,,,,,,,,
15,21,F4 ,30,K4 ,PA5 ,I/O ,TC ,- ,"SPI1_SCK, TIM2_ETR, TSC_G2_IO2, TIM2_CH1 ","COMP1_INM, COMP2_INM, ADC_IN5, DAC_OUT2 "
,,,,,,,,,,
16,22,G4 ,31,L4 ,PA6 ,I/O ,FT ,- ,"SPI1_MISO, LCD_SEG3, TIM3_CH1, TSC_G2_IO3, LPUART1_CTS, TIM22_CH1, EVENTOUT, COMP1_OUT ",ADC_IN6 
,,,,,,,,,,
17,23,H4 ,32,M4 ,PA7 ,I/O ,FT ,- ,"SPI1_MOSI, LCD_SEG4, TIM3_CH2, TSC_G2_IO4, TIM22_CH2, EVENTOUT, COMP2_OUT ",ADC_IN7 
,,,,,,,,,,
- ,24,H5 ,33,K5 ,PC4 ,I/O ,FT ,- ,"EVENTOUT, LCD_SEG22, LPUART1_TX ",ADC_IN14 
,,,,,,,,,,
- ,25,H6 ,34,L5 ,PC5 ,I/O ,FT ,- ,"LCD_SEG23, LPUART1_RX, TSC_G3_IO1 ",ADC_IN15 
,,,,,,,,,,
18,26,F5 ,35,M5 ,PB0 ,I/O ,FT ,- ,"EVENTOUT, LCD_SEG5, TIM3_CH3, TSC_G3_IO2 ","LCD_VLCD3, ADC_IN8, VREF_OUT "
,,,,,,,,,,
19,27,G5 ,36,M6 ,PB1 ,I/O ,FT ,- ,"LCD_SEG6, TIM3_CH4, TSC_G3_IO3, LPUART1_RTS_DE ","ADC_IN9, VREF_OUT "
,,,,,,,,,,
20,28,G6 ,37,L6 ,PB2 ,I/O ,FT ,- ,"LPTIM1_OUT, TSC_G3_IO4, I2C3_SMBA ",LCD_VLCD1 
,,,,,,,,,,
- ,- ,- ,38,M7 ,PE7 ,I/O ,FT ,- ,"LCD_SEG45, USART5_CK/USART5_ RTS ",- 
,,,,,,,,,,
- ,- ,- ,39,L7 ,PE8 ,I/O ,FT ,- ,"LCD_SEG46, USART4_TX ",- 
,,,,,,,,,,
- ,- ,- ,40,M8 ,PE9 ,I/O ,FT ,- ,"TIM2_CH1, LCD_SEG47, TIM2_ETR, USART4_RX ",- 
,,,,,,,,,,
